id,en,es,pt,de,fr,it,ar,hi,pt_BR,zh_CN,ru
abort,abort,Cancelar,cancelar,abbrechen,abandonner,interrompi,أوقف,का गर्भपात,cancelar,中止,выкинуть
absolute,absolute,absoluto,absoluto,absolut,absolu,assoluto,كامل,पूर्ण,absoluto,原形,абсолютный
abstract,abstract,Resumen,abstrato,abstrakt,abstrait,astratto,مجرد,सार,abstrato,摘要,Аннотация
accelerator,accelerator,acelerador,acelerador,Beschleuniger,accélérateur,acceleratore,مُسرِّع,त्वरक,acelerador,快捷键,ускоритель
accent,accent,acento,acento,Akzent,accent,accento,لهجة,उच्चारण,acento,重音符号,акцент
accept,accept,aceptar,aceitar,akzeptieren,accepter,accettare,اقبل,स्वीकार करना,aceitar,接受,принимать
access,access,acceso,acesso,Zugriff,verb: accéder / noun: accès,accesso,وصول,पहुँच,acesso,访问,доступ
accessibility,accessibility,accesibilidad,acessibilidade,Barrierefreiheit,accessibilité,accessibilità,امكانية الوصول,पहुँच,acessibilidade,,доступность
accessory,accessory,accesorio,acessório,Zubehör,accessoire,accessorio,ملحقات,गौण,acessório,,аксессуар
account,account,cuenta,conta,Konto,compte,conto,حساب,खाता,conta,,учетная запись
accuracy,accuracy,precisión,precisão,Genauigkeit,précision,accuratezza,دقة,शुद्धता,precisão,,точность
acquire,acquire,adquirir,adquirir,erwerben,acquérir,acquisire,احصل على,अधिग्रहण,adquirir,,приобретать
acronym,acronym,acrónimo,acrônimo,Abkürzung,acronyme,acronimo,مختصر,परिवर्णी शब्द,acrônimo,,акроним
action,action,acción,ação,Aktion,action,azione,تصرف,कार्रवाई,ação,,действие
activate,activate,activar,ativado(a),aktivieren,activer,attiva,فعِّل,सक्रिय करें,ativado(a),,активировать
active,active,activo,ativo(a),aktiv,actif,attivo,نشط,सक्रिय,ativo(a),,активный
activity,activity,actividad,atividade,Aktivität,activité,attività,نشاط,कार्यकलाप,atividade,,деятельность
adapter,adapter,adaptador,adaptador,Adapter,adaptateur,adattatore,موائم - محول,अनुकूलक,adaptador,,адаптер
add,add,agregar,adicionar,hinzufügen,ajouter,aggiungere,أضف,जोड़ना,adicionar,加,добавлять
address,address,dirección,endereço,Adresse,adresse,indirizzo,عنوان,पता,endereço,地址,адрес
adjust,adjust,ajustar,ajuste,einstellen,ajuster,aggiustare,عدّل,समायोजित,ajuste,调整,регулировать
administration,administration,administración,administração,Verwaltung,administration,amministrazione,إدارة,प्रशासन,administração,管理,администрация
administrator,administrator,administrador,administrador,Administrator,administrateur,amministratore,مسؤول,व्यवस्थापक,administrador,管理员,администратор
advanced,advanced,avanzado,avançado,fortgeschritten,avancé,avanzato,متقدم,उन्नत,avançado,,передовой
agent,agent,agente,agente,Betreuer,agent,agente,عامل - وكيل,एजेंट,agente,,агент
agree,agree,acordar,concordar,zustimmen,être d'accord,essere d'accordo,يتفق,सहमत,concordar,,согласна
agreement,agreement,acuerdo,autorização,Vereinbarung,accord,accordo,اتفاق,समझौता,autorização,,соглашение
alarm,alarm,alarma,alarme,Alarm,alarme,avviso,منبه,अलार्म,alarme,,тревога
alert,alert,alerta,alerta,Warnung,alerte,avviso,تنبيه,चेतावनी,alerta,,бдительный
algorithm,algorithm,algoritmo,algorítmo,Algorithmus,algorithme,algoritmo,لوغاريتم,कलन विधि,algorítmo,,алгоритм
alias,alias,alias,apelido,Alias,alias,pseudonimo,اسم مستعار,उर्फ,apelido,,псевдоним
aliasing,aliasing,alianza,,Alias-Effekt,crénelage,aliasing,تشويش,एलिआसन,,,наложения спектров
align,align,alinear,alinhar,ausrichten,aligner,allineare,نسّق,संरेखित,alinhar,,выравнивать
alignment,alignment,alineación,alinhamento,Ausrichtung,alignement,allineamento,محازاة,संरेखण,alinhamento,,выравнивание
allow,allow,permitir,aceitar,ermöglichen,permettre,consentire,اسمح,की अनुमति,aceitar,,разрешать
alphanumeric,alphanumeric,alfanumérico,alfanumérico,alphanumerisch,alphanumérique,alfanumerico,حرفي رقمي,अक्षरांकीय,alfanumérico,,алфавитно-цифровой
alternative,alternative,alternativa,alternativa,alternativ,alternatif,alternativo,بديل,,alternativa,,альтернатива
amount,amount,cantidad,quantia,Betrag,montant,ammontare,مقدار - كمية,,quantia,,количество
analysis,analysis,análisis,análise,Analyse,analyse,analisi,تحليل,,análise,,анализ
anchor,anchor,anclaje,âncora,Anker,ancre,ancoraggio,مرساة,,âncora,,якорь
angle,angle,ángulo,ângulo,Winkel,angle,angolo,زاوية,,ângulo,,угол
animate,animate,animar,animar,animieren,animer,animare,حرِّك,,animar,,оживлять
animation,animation,animación,animação,Animation,animation,animazione,تحريك - رسوم متحركة,,animação,,анимация
announce,announce,anuncio,anunciar,ankündigen,annoncer,annunciare,اعلن,,anunciar,发布,анонсировать
announcement,announcement,anuncio,anúncio,Ankündigung,annonce,annuncio,إعلان,,anúncio,,объявление
anonymous,anonymous,anónimo,desconhecido,anonym,anonyme,anonimo,مجهول,,desconhecido,,анонимный
antivirus,anti virus,antivirus,anti-vírus,Antivirus,antivirus,antivirus,مضاد للفيروسات,एंटी वायरस,anti-vírus,防病毒,антивирус
antialiasing,anti-aliasing,antialianza,anti-aliasing,Anti-Aliasing,anticrénelage,anti-aliasing,مانع تشويش,विरोधी aliasing,anti-aliasing,,сглаживание
appear,appear,aparecer,aparecer,erscheinen,apparaître,apparire,يظهر,प्रकट,aparecer,,появиться
append,append,añadir,inserir,anfügen,ajouter,apporre,ألحق,जोड़ना,inserir,,присоединять
applet,applet,miniaplicación,miniaplicativo,Minianwendung,applet,applet,بريمج,एपलेट,miniaplicativo,,апплет
application,application,aplicación,aplicação,Anwendung,application,applicazione,تطبيق,आवेदन,aplicação,,приложение
apply,apply,aplicar,aplicar,anwenden,appliquer,applicare,طبِّق,लागू करना,aplicar,,применять
approval,approval,aprobación,aprovação,Zustimmung,approbation,approvazione,موافقة,अनुमोदन,aprovação,,утверждение
approve,approve,aprobar,aprovar,zustimmen,approuver,approvare,وافق,मंजूरी,aprovar,,утвердить
approximate,approximate,aproximado,aproximar,ungefähr,approximatif,approssimativo,تقريبي,,aproximar,,приближенный
arbitrary,arbitrary,arbitrario,arbitrário,beliebig,arbitraire,arbitrario,تعسفي,,arbitrário,,произвольный
archive,archive,archivo,arquivo,Archiv,archive,archivio,أرشيف,,arquivo,,архив
area,area,área,área,Bereich,zone,area,منطقة,,área,,площадь
argument,argument,argumento,argumento,Argument,argument,argomento,معامل - جدال,,argumento,,аргумент
arrangement,arrangement,acuerdo,arranjo,Anordnung,plage,arrangiamento,ترتيب,,arranjo,,расположение
arrow,arrow,flecha,seta,Pfeil,ligne,freccia,سهم,,seta,,стрела
article,article,artículo,artigo,Artikel,article,articolo,مقال - شيء,,artigo,,статья
ascending,ascending,ascendente,ascendente,aufsteigend,ascendant,ascendente,تصاعدي,,ascendente,,по возрастанию
aspect,aspect,aspecto,aspecto,Aspekt,aspect,aspetto,مظهر,पहलू,aspecto,,аспект
assign,assign,asignar,atribuir,zuordnen,affecter,assegnare,عيِّن,आवंटित,atribuir,,назначать
assignment,assignment,asignación,atribuição,Zuordnung,affectation,compito,مهمة,असाइनमेंट,atribuição,,назначение
asynchronous,asynchronous,asíncrona,assíncrono,asynchron,asynchrone,asincrono,غير متزامن,अतुल्यकालिक,assíncrono,,асинхронный
attach,attach,adjuntar,anexar,anhängen,attacher,allega,ارفق,जोड़ना,anexar,,прикреплять
attachment,attachment,adjunto,anexo,Anhang,pièce jointe,allegato,مرفق,आसक्ति,anexo,,прикрепление
attempt,attempt,intento,tentativas,versuchen,tentative,tentativo,محاولة,प्रयास,tentativas,,попытка
attribute,attribute,atributo,atributo,Attribut,attribut,attributo,خاصية,विशेषता,atributo,,атрибут
audio,audio,audio,áudio,Audio,audio,audio,صوت,ऑडियो,áudio,,аудио
authenticate,authenticate,autenticar,autenticar,authentifizieren,authentifier,autenticare,وثِّق - صدِّق,,autenticar,,проверять подлинность
authentication,authentication,autenticación,autenticação,Authentifizierung,authentification,autenticazione,تحقق,,autenticação,,аутентификация
authorization,authorization,autorización,autorização,Autorisierung,autorisation,autorizzazione,صلاحية,,autorização,,авторизация
authorize,authorize,autorizar,autorizar,autorisieren,autoriser,autorizzare,اسمح - اعطي صلاحية,,autorizar,,санкционировать
auto,auto,auto,auto,automatisch,auto,auto,تلقائي,,auto,,авто
automatic,automatic,automático,automático,automatisch,automatique,automatico,تلقائي,,automático,,автоматический
availability,availability,disponibilidad,disponibilidade,Verfügbarkeit,disponibilité,disponibilità,توفر,,disponibilidade,,доступность
available,available,disponible,disponível,verfügbar,disponible,disponibile,متوفر,,disponível,,имеется в наличии
average,average,promedio,média,Durchschnitt,moyenne,media,معدل - متوسط,,média,,средний
axis,axis,eje,eixo,Achse,axe,asse,محور,धुरी,eixo,,ось
backend,back-end,back-end,,Backend,Vers la fin.,lato server,خلفي - ختامي,,,,бэкенд
backbone,backbone,columna vertebral,espinha dorsal,Backbone,,backbone,أساس - دعامة,,espinha dorsal,,позвоночник
background,background,fondo,plano de fundo,Hintergrund,arrière plan,sfondo,خلفية,,plano de fundo,,фон
backup,backup,copia de seguridad,cópia de segurança,Sicherung,sauvegarde,backup,نسخة احتياطية,,cópia de segurança,,резервное копирование
bandwidth,bandwidth,ancho de banda,largura de banda,Bandbreite,bande passante,larghezza di banda,حجم تدفق البيانات,,largura de banda,,пропускная способность
banner,banner,banner,faixa,Banner,bannière,banner,ترويسة,,faixa,,баннер
bar,bar,barra,barra,Leiste,barre,bar,شريط,,barra,,бар
base,base,base,base,Basis,base,base,قاعدة,,base,,база
beep,beep,pitido,alarme sonoro,Signalton,signal d'avertissement,bip,صوت انذار,,alarme sonoro,,гудок
begin,begin,empezar,início,anfangen,commencer,inizio,ابدأ,,início,,начать
behavior,behavior,comportamiento,comportamento,Verhalten,attitude,funzionamento,سلوك,,comportamento,,поведение
binary,binary,binario,binário,binär,binaire,binario,ثنائي,,binário,,двоичный
bind,bind,vincular,vincular,binden,lier,legare,اربط - وثِّق,,vincular,,привязывать
bit,bit,bit,bit,Bit,bit,bit,بت,,bit,,немного
bitmap,bitmap,bitmap,bitmap,Bitmap,bitmap,bitmap,صورة بيت,,bitmap,,битовая карта
blank,blank,en blanco,em branco,unbeschrieben,vide,vuoto,فارغ,,em branco,,пустой
blink,blink,parpadeo,piscar,blinken,clignote,lampeggiante,يرمش,,piscar,,мерцать
blockunit,block (unit),bloque (unidad),bloco (unidade),Block (Einheit),bloc (unité),blocco,كتلة ( وحدة ),,bloco (unidade),,blockunit
blockverb,block (verb),bloquear (verbo),bloquear (verbo),blockieren (Verb),bloc (verbe),bloccare,احجز (فعل),,bloquear (verbo),,blockverb
blog,blog,blog,blog,Blog,,blog,مدونة,,blog,,блог
blur,blur,borroso,desfocar,Unschärfe,flou,sfocatura,مشوش الرؤية,,desfocar,,пятно
board,board,tablero,placa,Brett,tableau,tavolo,لوح اعلانات,,placa,,доска
body,body,cuerpo,corpo,Rumpf,corps,corpo,جسم,,corpo,,тело
bold,bold,negrita,negrito,Fettschrift,gras,grassetto,عريض,,negrito,,смелый
bookmarks,bookmarks,marcadores,,Lesezeichen,signets,segnalibri,إشارات مرجعية,,,,закладки
boot,boot,inicio,inicialização,hochfahren,charger,avvio,إقلاع,,inicialização,,ботинок
border,border,borde,borda,Rand,contour,bordo,حد,,borda,,граница
box,box,caja,caixa,Kasten,boîte,scatola,صندوق,,caixa,,коробка
bracket,bracket,corchete,colchete,Klammer,,parentesi,قوس,,colchete,,скобка
branch,branch,rama,ramificação,Zweig,branche,ramo,فرع,,ramificação,,ветка
break,break,salto,,Unterbrechung,,interruzione,فاصل,,,,перерыв
breakprogram,break (program),salto (programa),,Haltepunkt (Programm),,interrompere (programma),انقطاع (برنامج),,,,breakprogram
breakpoint,break point,punto de salto,,Unterbrechungspunkt,,breakpoint,نقطة انقطاع,,,,точка остановки
bridgenoun,bridge (noun),puente,,Brücke (Nomen),pont,ponte,جسر (اسم),,,,bridgenoun
bridgeverb,bridge (verb),enlazar (verbo),,überbrücken (Verb),faire un pont avec,colmare (verbo),صِل (فعل),,,,bridgeverb
broken,broken,roto,quebrado,defekt,brisé,guasto,مكسور,,quebrado,,сломанный
browse,browse,examinar,navegar,durchsuchen,naviguer,esplora,استعرض,,navegar,,просматривать
browser,browser,explorador,navegador,Browser,navigateur,browser,مستعرض,,navegador,,браузер
buffer,buffer,buffer,buffer,Puffer,tampon,buffer,ذاكرة مؤقتة,,buffer,,буфер
bug,bug,error,erro,Programmfehler,bogue,bug,خلل,,erro,,ошибка
build,build,construir,compilar,erstellen,contruire,compila,بناء,,compilar,,строить
builtin,built-in,construcción,embutido,eingebaut,intégré,integrato,مضمّن,,embutido,,встроенная
bullet,bullet,viñeta,marcador,Aufzählungspunkt,puce,proiettile,نقطة,,marcador,,пуля
bus,bus,bus,barramento,Bus,,bus,ناقل,,barramento,,автобус
button,button,botón,botão,Schaltfläche,bouton,pulsante,زر,,botão,,кнопка
byte,byte,byte,byte,Byte,octet,byte,بايت,,byte,,байт
cable,cable,cable,cabo,Kabel,,cavo,كبل,,cabo,,кабель
cache,cache,caché,cache,Zwischenspeicher,cache,cache,محفوظات,,cache,,кэш
calculate,calculate,calcular,calcular,rechnen,calculer,calcola,احسب,,calcular,,подсчитывать
calculator,calculator,calculadora,calculadora,Taschenrechner,calculatrice,calcolatore,آلة حاسبة,,calculadora,,калькулятор
calendar,calendar,calendario,calendário,Kalender,calendrier,calendario,تقويم,,calendário,,календарь
call,call,llamada,chamar,aufrufen,appel,chiamata,نداء,,chamar,,вызов
camera,camera,cámara,câmera,Kamera,appareil photo,fotocamera,آلة تصوير,,câmera,,камера
cancel,cancel,cancelar,cancelar,abbrechen,annuler,annulla,إلغاء,,cancelar,,отменить
capability,capability,habilidad,funcionalidade,Fähigkeit,capabilité,capacità,قدرة,,funcionalidade,,возможность
capacity,capacity,capacidad,capacidade,Kapazität,capacité,capacità,سعة,,capacidade,,вместимость
caption,caption,leyenda,captura,Bildunterschrift,légende,didascalia,تسمية - عنوان فرعي,,captura,,подпись
capture,capture,captura,captura,erfassen,capture,cattura,التقط,,captura,,захватить
card,card,tarjeta,cartão,Karte,carte,carta,بطاقة,,cartão,,карта
case,case,caso,maiúsculas e minúsculas,Fall,case,caso,حالة - حاوية,,maiúsculas e minúsculas,,дело
