id,en,es,pt,pt_BR,fr,it,ca,de,ar,hi,zh_CN,ru,he,sv,da,
abort,abort,Cancelar,cancelar,cancelar,abandonner,interrompi,Cancel,abbrechen,أوقف,का गर्भपात,中止,выкинуть,להפיל,avbryta,abort,
absolute,absolute,absoluto,absoluto,absoluto,absolu,assoluto,absolut,absolut,كامل,पूर्ण,原形,абсолютный,מוחלט,absolut,absolut,
abstract,abstract,Resumen,abstrato,abstrato,abstrait,astratto,Resum,abstrakt,مجرد,सार,摘要,Аннотация,מופשט,abstrakt,abstrakt,
accelerator,accelerator,acelerador,acelerador,acelerador,accélérateur,acceleratore,accelerador,Beschleuniger,مُسرِّع,त्वरक,快捷键,ускоритель,מאיץ,accelerator,accelerator,
accent,accent,acento,acento,acento,accent,accento,accent,Akzent,لهجة,उच्चारण,重音符号,акцент,המבטא,accent,accent,
accept,accept,aceptar,aceitar,aceitar,accepter,accettare,acceptar,akzeptieren,اقبل,स्वीकार करना,接受,принимать,לקבל,acceptera,acceptere,
access,access,acceso,acesso,acesso,verb: accéder / noun: accès,accesso,accés,Zugriff,وصول,पहुँच,访问,доступ,גישה,tillgång,adgang,
accessibility,accessibility,accesibilidad,acessibilidade,acessibilidade,accessibilité,accessibilità,accessibilitat,Barrierefreiheit,امكانية الوصول,पहुँच,无障碍,доступность,נגישות,tillgänglighet,tilgængelighed,
accessory,accessory,accesorio,acessório,acessório,accessoire,accessorio,accessori,Zubehör,ملحقات,गौण,附件,аксессуар,אבזר,tillbehör,tilbehør,
account,account,cuenta,conta,conta,compte,conto,compte,Konto,حساب,खाता,帐户,учетная запись,חשבון,konto,konto,
accuracy,accuracy,precisión,precisão,precisão,précision,accuratezza,precisió,Genauigkeit,دقة,शुद्धता,准确性,точность,דיוק,noggrannhet,nøjagtighed,
acquire,acquire,adquirir,adquirir,adquirir,acquérir,acquisire,adquirir,erwerben,احصل على,अधिग्रहण,获得,приобретать,לרכוש,tillägna sig,erhverve,
acronym,acronym,acrónimo,acrônimo,acrônimo,acronyme,acronimo,acrònim,Abkürzung,مختصر,परिवर्णी शब्द,缩写,акроним,ראשי תיבות,akronym,akronym,
action,action,acción,ação,ação,action,azione,acció,Aktion,تصرف,कार्रवाई,行动,действие,פעולה,verkan,handling,
activate,activate,activar,ativado(a),ativado(a),activer,attiva,activar,aktivieren,فعِّل,सक्रिय करें,启用,активировать,להפעיל,Aktivera,aktivere,
active,active,activo,ativo(a),ativo(a),actif,attivo,actiu,aktiv,نشط,सक्रिय,活性,активный,פעיל,aktiva,aktiv,
activity,activity,actividad,atividade,atividade,activité,attività,activitat,Aktivität,نشاط,कार्यकलाप,活动,деятельность,פעילות,aktivitet,aktivitet,
adapter,adapter,adaptador,adaptador,adaptador,adaptateur,adattatore,adaptador,Adapter,موائم - محول,अनुकूलक,适配器,адаптер,מתאם,adapter,adapter,
add,add,agregar,adicionar,adicionar,ajouter,aggiungere,afegir,hinzufügen,أضف,जोड़ना,加,добавлять,להוסיף,Lägg till,tilføje,
address,address,dirección,endereço,endereço,adresse,indirizzo,direcció,Adresse,عنوان,पता,地址,адрес,כתובת,adress,adresse,
adjust,adjust,ajustar,ajuste,ajuste,ajuster,aggiustare,ajustar,einstellen,عدّل,समायोजित,调整,регулировать,להתאים,justera,justere,
administration,administration,administración,administração,administração,administration,amministrazione,administració,Verwaltung,إدارة,प्रशासन,管理,администрация,ממשל,administrering,administration,
administrator,administrator,administrador,administrador,administrador,administrateur,amministratore,administrador,Administrator,مسؤول,व्यवस्थापक,管理员,администратор,מנהל,administratör,administrator,
advanced,advanced,avanzado,avançado,avançado,avancé,avanzato,avançat,fortgeschritten,متقدم,उन्नत,高级,передовой,מתקדם,Avancerad,fremskreden,
agent,agent,agente,agente,agente,agent,agente,agent,Betreuer,عامل - وكيل,एजेंट,代理人,агент,סוכן,ombud,agent,
agree,agree,acordar,concordar,concordar,être d'accord,essere d'accordo,acordar,zustimmen,يتفق,सहमत,同意,согласна,מסכים,hålla med,enig,
agreement,agreement,acuerdo,autorização,autorização,accord,accordo,acord,Vereinbarung,اتفاق,समझौता,协议,соглашение,הסכם,avtal,aftale,
alarm,alarm,alarma,alarme,alarme,alarme,avviso,alarma,Alarm,منبه,अलार्म,报警,тревога,אזעקה,larm,alarm,
alert,alert,alerta,alerta,alerta,alerte,avviso,alerta,Warnung,تنبيه,चेतावनी,警报,бдительный,התראה,varna,alert,
algorithm,algorithm,algoritmo,algorítmo,algorítmo,algorithme,algoritmo,algoritme,Algorithmus,لوغاريتم,कलन विधि,算法,алгоритм,אלגוריתם,algoritm,algoritme,
alias,alias,alias,apelido,apelido,alias,pseudonimo,àlies,Alias,اسم مستعار,उर्फ,别号,псевдоним,כינוי,alias,alias,
aliasing,aliasing,alianza,aliasing,aliasing,crénelage,aliasing,aliança,Alias-Effekt,تشويش,एलिआसन,别名,наложения спектров,aliasing,aliasing,aliasing,
align,align,alinear,alinhar,alinhar,aligner,allineare,alinear,ausrichten,نسّق,संरेखित,对齐,выравнивать,ליישר,justera,tilpasse,
alignment,alignment,alineación,alinhamento,alinhamento,alignement,allineamento,alineació,Ausrichtung,محازاة,संरेखण,对准,выравнивание,יישור,inriktning,justering,
allow,allow,permitir,aceitar,aceitar,permettre,consentire,permetre,ermöglichen,اسمح,की अनुमति,允许,разрешать,להתיר,tillåta,give lov til,
alphanumeric,alphanumeric,alfanumérico,alfanumérico,alfanumérico,alphanumérique,alfanumerico,alfanumèric,alphanumerisch,حرفي رقمي,अक्षरांकीय,字母,алфавитно-цифровой,אותיות ומספרים,alfanumerisk,alfanumerisk,
